Td	ID	Tj	Df	Dd	Db
0	3	0	0	0	0
1	10	1	0	1	0
2	17	2	0	2	0
3	24	3	0	3	0
4	31	4	0	4	0
5	38	5	0	5	0
6	1	0	0	6	6
12	87	12	0	12	0
13	2089	12	0	1	1
13	2085	12	0	1	1
13	94	13	0	13	0
14	2092	13	0	1	1
14	2096	13	0	1	1
14	101	14	0	14	0
15	2099	14	0	1	1
15	2103	14	0	1	1
15	108	15	0	15	0
16	2106	15	0	1	1
16	2110	15	0	1	1
16	115	16	0	16	0
17	2113	16	0	1	1
17	2117	16	0	1	1
17	122	17	0	17	0
18	2120	17	0	1	1
18	2124	17	0	1	1
18	128	18	0	18	0
19	2131	18	0	1	1
19	135	19	0	19	0
20	2138	19	0	1	1
20	142	20	0	20	0
21	2145	20	0	1	1
21	149	21	0	21	0
22	2152	21	0	1	1
22	156	22	0	22	0
23	2083	11	0	12	12
23	2083	11	0	12	12
23	2083	11	0	12	12
23	2083	11	0	12	12
23	2159	22	0	1	1
23	2083	11	0	12	12
23	163	23	0	23	0
24	2166	23	0	1	1
26	2172	24	0	2	2
27	2179	25	0	2	2
28	2186	26	0	2	2
29	2193	27	0	2	2
30	2200	28	0	2	2
36	2238	34	0	2	2
37	2245	35	0	2	2
38	2252	36	0	2	2
39	2259	37	0	2	2
40	2266	38	0	2	2
41	2285	40	0	1	1
41	2273	39	0	2	2
42	2292	41	0	1	1
43	2299	42	0	1	1
44	2306	43	0	1	1
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
58	2345	49	0	9	9
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
65	2338	48	0	17	17
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
73	2331	47	0	26	26
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
81	2324	46	0	35	35
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
89	2317	45	0	44	44
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
97	2310	44	0	53	53
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
100	2236	33	0	67	67
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
114	2231	33	67	14	81
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
127	2229	32	0	95	95
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106
138	2224	32	95	11	106


Battle Statistics for Earth Army:
- Total number of each unit (ES, ET, EG): 234, 77, 20
- Percentage of total destroyed units relative to total units: 0%
- Average of Df: inf
- Average of Dd: inf
- Average of Db: inf
- Df/Db %: 27.6522%
- Dd/Db %: 75.468%


Battle Statistics for Alien Army:
- Total number of each unit (AS, AM, AD): 273, 99, 0
- Percentage of total destroyed units relative to total units: 44.086%
- Average of Df: 12.1585
- Average of Dd: 33.1829
- Average of Db: 43.9695
- Df/Db %: 27.6522%
- Dd/Db %: 75.468%
